project_id,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,budget_usd,actual_cost_usd,team_size,complexity,risk_level,status,success,satisfaction_score
PRJ_0018,2022-04-30,2023-07-19,2023-09-18,445,506,452251.66,493836.31,6,8,3,Completed,0,3
PRJ_0019,2021-08-13,2022-01-23,2022-04-27,163,257,404868.75,466004.81,19,8,2,Cancelled,0,1
PRJ_0020,2019-10-04,2020-12-29,2021-01-24,452,478,118253.7,147754.55,38,1,3,Cancelled,0,2
PRJ_0021,2022-03-30,2023-01-29,2023-01-18,305,294,190274.93,246146.0,40,10,1,Completed,0,2
PRJ_0022,2020-04-04,2020-11-25,2020-12-30,235,270,161820.11,195366.94,10,5,1,Completed,0,4
PRJ_0023,2019-01-22,2019-04-30,2019-05-09,98,107,384775.83,410596.87,43,4,4,Completed,0,4
PRJ_0024,2019-09-10,2021-02-27,2021-05-26,536,624,65089.6,69551.02,46,2,5,Completed,0,2
PRJ_0025,2021-01-17,2022-09-06,2022-08-21,597,581,306450.36,366218.27,16,8,3,Completed,0,4
PRJ_0026,2021-05-06,2022-08-16,2022-11-22,467,565,393106.41,391341.7,7,3,5,Completed,0,3
PRJ_0027,2020-04-19,2021-11-24,2021-12-06,584,596,444544.54,419734.35,49,4,4,Completed,0,3
PRJ_0028,2021-12-18,2023-07-06,2023-10-11,565,662,203936.79,212471.31,22,7,1,Cancelled,0,2
PRJ_0029,2020-05-25,2020-08-28,2020-10-11,95,139,419565.79,425815.47,44,10,5,Completed,0,3
PRJ_0030,2020-11-30,2021-02-17,2021-02-07,79,69,99784.28,101632.61,25,9,5,Completed,0,2
PRJ_0031,2021-09-02,2022-09-17,2022-11-20,380,444,430903.53,428078.14,19,2,1,Completed,0,4
PRJ_0032,2019-07-09,2021-01-30,2021-02-04,571,576,107369.9,98440.72,37,3,3,Completed,0,3
PRJ_0033,2021-08-15,2022-11-17,2022-12-29,459,501,228779.28,207537.03,39,4,1,Completed,0,2
PRJ_0034,2020-11-17,2022-10-31,2023-01-04,713,778,408782.91,529410.24,30,10,5,Completed,0,4
PRJ_0035,2021-08-15,2023-01-27,2023-03-06,530,568,117462.84,125815.54,12,1,3,Completed,0,4
PRJ_0036,2020-07-16,2021-02-03,2021-02-09,202,208,153163.13,161392.68,40,7,3,Completed,0,2
PRJ_0037,2022-06-21,2022-11-19,2023-02-04,151,228,375013.66,439463.1,34,2,1,Completed,0,2
PRJ_0038,2021-04-11,2022-05-29,2022-08-21,413,497,374016.44,369267.01,27,5,5,Completed,0,3
PRJ_0039,2022-02-28,2022-06-18,2022-09-04,110,188,338516.43,433295.78,46,1,4,Completed,0,4
PRJ_0040,2020-10-08,2022-07-04,2022-10-20,634,742,362276.8,439998.94,48,3,5,Completed,0,4
PRJ_0041,2019-01-21,2019-09-27,2019-10-31,249,283,294226.0,275326.22,18,2,2,Completed,0,2
PRJ_0042,2021-04-20,2021-10-21,2021-10-06,184,169,163309.58,174256.59,18,1,4,Completed,0,4
PRJ_0043,2019-06-16,2020-01-11,2020-03-25,209,283,205563.2,257292.63,6,7,3,Completed,0,3
PRJ_0044,2020-01-23,2021-01-30,2021-05-22,373,485,131718.97,168322.73,41,5,4,Completed,0,4
PRJ_0045,2020-08-23,2022-05-14,2022-08-03,629,710,458802.75,498700.52,9,1,3,Completed,0,2
PRJ_0046,2019-11-12,2020-12-17,2020-11-29,401,383,312526.31,357956.56,42,6,3,Completed,0,2
PRJ_0047,2019-01-14,2020-01-13,2020-01-15,364,366,230383.14,222737.55,49,5,4,Completed,0,3
PRJ_0048,2019-08-30,2019-12-21,2020-01-22,113,145,257902.61,334362.34,45,3,3,Completed,0,3
PRJ_0049,2021-02-15,2022-07-03,2022-09-03,503,565,476277.5,472785.76,18,7,3,Cancelled,0,1
PRJ_0050,2020-07-18,2022-05-21,2022-07-24,672,736,119008.13,151984.42,43,10,2,Completed,0,4
PRJ_0051,2021-06-16,2022-05-05,2022-07-01,323,380,313803.42,363967.62,29,9,5,Completed,0,2
PRJ_0052,2019-04-02,2019-07-23,2019-10-20,112,201,277649.91,317380.14,24,9,5,Completed,0,3
PRJ_0053,2021-08-13,2023-05-06,2023-04-16,631,611,325154.41,359320.14,6,9,2,Completed,0,3
PRJ_0054,2020-05-23,2022-04-02,2022-05-02,679,709,58149.58,57699.97,43,2,4,Completed,0,3
PRJ_0055,2021-02-14,2021-04-19,2021-04-02,64,47,442455.76,429452.52,10,3,1,Completed,1,4
PRJ_0056,2019-02-04,2019-07-16,2019-10-16,162,254,469453.23,463911.09,21,7,1,Completed,0,3
PRJ_0057,2019-07-25,2020-04-05,2020-04-16,255,266,304309.93,296572.95,29,5,1,Completed,0,2
PRJ_0058,2022-01-09,2023-02-22,2023-03-07,409,422,363492.87,440492.94,32,2,2,Completed,0,2
PRJ_0059,2021-10-22,2022-02-05,2022-04-17,106,177,465124.72,483753.01,6,3,2,Completed,0,4
PRJ_0060,2021-10-18,2023-10-03,2023-12-16,715,789,368257.39,339952.04,39,10,3,Completed,0,4
PRJ_0061,2020-07-19,2021-06-12,2021-08-02,328,379,118642.57,152769.04,41,6,1,Completed,0,3
PRJ_0062,2022-02-03,2023-04-08,2023-04-26,429,447,309329.76,387749.3,9,7,4,Cancelled,0,1
PRJ_0063,2020-12-03,2022-10-29,2023-02-03,695,792,323021.77,410593.27,5,9,4,Completed,0,2
PRJ_0064,2020-02-06,2020-07-20,2020-07-02,165,147,240858.8,312625.84,44,1,1,Completed,0,3
PRJ_0065,2020-12-30,2022-12-18,2023-03-30,718,820,381399.91,369789.37,16,7,1,Completed,0,2
PRJ_0066,2019-06-11,2021-05-27,2021-06-25,716,745,470465.16,497985.87,40,8,1,Completed,0,3
PRJ_0067,2019-07-21,2020-01-16,2020-01-07,179,170,466505.83,561344.32,49,3,2,Completed,0,4
PRJ_0068,2021-09-22,2023-07-17,2023-08-19,663,696,252877.72,297993.19,27,4,2,Completed,0,3
PRJ_0069,2019-09-27,2020-01-22,2020-05-13,117,229,100957.12,97076.16,35,10,2,Completed,0,3
PRJ_0070,2021-03-26,2022-05-05,2022-06-10,405,441,493178.54,604801.24,15,6,5,Completed,0,2
PRJ_0071,2020-03-31,2021-09-15,2021-12-15,533,624,427504.14,423133.43,14,10,4,Completed,0,2
PRJ_0072,2022-06-29,2022-12-22,2023-01-17,176,202,106098.21,104987.04,7,7,4,Completed,0,3
PRJ_0073,2021-10-13,2022-04-17,2022-06-20,186,250,464378.85,517684.79,18,4,3,Completed,0,4
PRJ_0074,2019-10-23,2021-01-17,2021-03-03,452,497,441453.36,502010.16,20,8,2,Completed,0,4
PRJ_0075,2020-12-20,2022-11-20,2023-01-13,700,754,283477.13,320905.88,14,5,5,Completed,0,2
PRJ_0076,2019-12-04,2020-03-30,2020-06-20,117,199,316073.95,296033.19,33,1,5,Completed,0,4
PRJ_0077,2021-05-28,2023-04-21,2023-05-08,693,710,229551.22,287164.98,14,4,4,Completed,0,2
PRJ_0078,2021-12-12,2023-07-07,2023-08-05,572,601,74642.74,75108.51,16,3,2,Completed,0,4
PRJ_0079,2021-03-02,2021-08-04,2021-10-20,155,232,200838.76,191159.53,34,9,3,Completed,0,3
PRJ_0080,2019-08-05,2021-07-02,2021-09-01,697,758,411284.05,516366.81,45,8,2,Completed,0,2
PRJ_0081,2021-02-02,2021-07-29,2021-08-07,177,186,52084.41,66785.79,5,1,1,Completed,0,2
PRJ_0082,2019-07-07,2021-03-17,2021-05-14,619,677,200074.63,249063.11,9,6,2,Completed,0,3
PRJ_0083,2020-01-15,2021-11-05,2022-01-14,660,730,229175.91,280466.95,24,9,1,Completed,0,2
PRJ_0084,2020-05-07,2021-11-05,2021-12-06,547,578,291828.02,339132.41,12,7,1,Completed,0,4
PRJ_0085,2021-11-30,2022-09-22,2022-11-19,296,354,463935.03,519766.34,47,4,3,Completed,0,4
PRJ_0086,2022-03-26,2023-02-20,2023-03-01,331,340,205855.7,192432.82,16,1,4,Completed,0,2
PRJ_0087,2019-01-15,2019-09-20,2019-12-14,248,333,206128.94,219193.66,5,2,2,Completed,0,4
PRJ_0088,2019-03-06,2020-07-24,2020-08-23,506,536,381875.56,400616.26,24,5,1,Completed,0,2
PRJ_0089,2020-06-04,2022-03-06,2022-05-05,640,700,253498.07,254487.1,32,5,2,Completed,0,3
PRJ_0090,2022-02-26,2022-12-29,2023-04-20,306,418,151072.17,179680.41,47,8,4,Completed,0,2
PRJ_0091,2020-10-09,2021-02-21,2021-03-01,135,143,253597.78,278539.2,41,6,4,Completed,0,3
PRJ_0092,2021-12-22,2022-07-23,2022-11-11,213,324,113385.66,105722.88,41,8,5,Completed,0,4
PRJ_0093,2022-03-08,2024-02-21,2024-06-17,715,832,129374.14,127831.13,16,2,4,Completed,0,3
PRJ_0094,2020-08-15,2021-12-22,2022-02-13,494,547,274265.5,321796.67,41,3,3,Completed,0,4
PRJ_0095,2020-01-27,2020-06-20,2020-06-16,145,141,238516.45,221928.19,48,6,1,Completed,1,4
PRJ_0096,2020-02-23,2021-02-01,2021-04-05,344,407,461680.66,572706.9,32,10,5,Completed,0,4
PRJ_0097,2019-10-16,2020-07-21,2020-09-07,279,327,213077.25,233971.31,19,3,3,Completed,0,2
PRJ_0098,2020-01-14,2020-05-21,2020-06-03,128,141,311264.76,339974.15,10,6,2,Completed,0,2
PRJ_0099,2019-08-19,2019-12-03,2019-11-18,106,91,334518.93,380335.68,48,6,1,Completed,0,3
PRJ_0100,2021-10-14,2022-03-16,2022-04-17,153,185,55892.51,68740.65,24,2,4,Completed,0,3
PRJ_0101,2019-02-10,2020-07-06,2020-10-19,512,617,348591.82,362230.01,18,7,1,Completed,0,3
PRJ_0102,2021-11-17,2022-08-07,2022-08-29,263,285,130116.19,152392.92,6,2,2,Completed,0,3
PRJ_0103,2019-05-15,2020-02-16,2020-05-20,277,371,482481.64,543415.59,13,6,5,Cancelled,0,2
PRJ_0104,2019-07-20,2021-01-03,2021-04-03,533,623,116898.23,117694.46,41,1,5,Completed,0,4
PRJ_0105,2021-02-18,2022-06-24,2022-08-22,491,550,236580.86,296069.58,24,3,5,Completed,0,4
PRJ_0106,2021-07-18,2022-08-22,2022-11-04,400,474,88407.35,107765.94,30,2,4,Completed,0,4
PRJ_0107,2021-11-22,2023-07-25,2023-10-30,610,707,498593.41,580053.97,33,7,3,Completed,0,2
PRJ_0108,2021-12-07,2023-10-09,2023-09-26,671,658,275987.75,342289.04,5,4,3,Cancelled,0,1
PRJ_0109,2020-05-17,2021-04-30,2021-08-19,348,459,317923.26,396424.13,39,8,1,Completed,0,4
PRJ_0110,2020-02-11,2020-12-20,2021-03-13,313,396,80184.41,94885.84,10,6,4,Completed,0,4
PRJ_0111,2021-03-15,2022-05-05,2022-08-24,416,527,387482.21,478465.1,41,10,5,Completed,0,3
PRJ_0112,2019-04-09,2019-06-30,2019-07-04,82,86,144457.52,170313.76,9,4,5,Completed,0,4
PRJ_0113,2020-11-14,2022-06-18,2022-09-01,581,656,454124.43,532259.4,37,5,2,Cancelled,0,1
PRJ_0114,2020-12-26,2021-06-03,2021-08-14,159,231,142312.84,163296.09,18,9,2,Cancelled,0,2
PRJ_0115,2021-08-18,2022-04-14,2022-05-24,239,279,135809.47,163118.95,16,7,5,Completed,0,2
PRJ_0116,2020-09-04,2021-06-13,2021-09-22,282,383,66447.35,64018.17,46,10,5,Completed,0,4
PRJ_0117,2020-10-04,2022-09-22,2022-10-22,718,748,262430.13,328653.92,24,9,4,Completed,0,3
PRJ_0118,2021-10-25,2023-03-10,2023-03-10,501,501,304178.51,379839.09,28,7,3,Completed,0,2
PRJ_0119,2022-05-26,2024-03-23,2024-03-07,667,651,79568.89,72542.87,47,1,2,Completed,1,4
PRJ_0120,2020-05-17,2021-06-05,2021-08-15,384,455,398987.43,490884.89,38,8,3,Completed,0,2
PRJ_0121,2021-02-05,2022-09-03,2022-10-13,575,615,253979.98,241674.12,29,4,4,Completed,0,2
PRJ_0122,2020-02-02,2020-04-17,2020-04-18,75,76,285975.62,295712.39,33,3,5,Completed,0,2
PRJ_0123,2021-05-20,2022-06-19,2022-08-07,395,444,248343.24,297367.01,43,7,3,Cancelled,0,1
PRJ_0124,2021-03-05,2022-01-16,2021-12-27,317,297,230343.38,222121.03,35,3,5,Completed,1,5
PRJ_0125,2020-01-28,2021-08-06,2021-11-26,556,668,301838.15,370411.8,47,8,5,Completed,0,4
PRJ_0126,2019-07-26,2020-03-01,2020-02-21,219,210,119858.11,147767.51,27,6,1,Cancelled,0,1
PRJ_0127,2021-11-04,2023-04-22,2023-06-30,534,603,131867.66,145448.33,48,5,3,Completed,0,3
PRJ_0128,2021-06-10,2022-08-23,2022-09-17,439,464,437803.53,395141.48,42,4,3,Completed,0,3
PRJ_0129,2021-05-13,2023-01-07,2023-01-20,604,617,475751.96,482800.34,24,8,5,Cancelled,0,2
PRJ_0130,2021-01-12,2022-05-13,2022-07-09,486,543,217989.19,249983.63,27,8,4,Cancelled,0,1
PRJ_0131,2022-06-18,2024-04-20,2024-05-14,672,696,171835.1,222092.48,49,1,1,Completed,0,4
PRJ_0132,2020-07-17,2021-06-09,2021-07-31,327,379,339799.79,391695.86,20,9,5,Completed,0,4
PRJ_0133,2021-10-17,2023-07-15,2023-07-20,636,641,233930.38,234847.72,46,5,2,Completed,0,4
PRJ_0134,2019-04-06,2020-07-25,2020-08-20,476,502,61423.86,70858.71,12,4,2,Completed,0,4
PRJ_0135,2020-04-29,2020-12-12,2021-03-22,227,327,120268.67,134219.13,25,6,1,Completed,0,3
PRJ_0136,2019-08-19,2019-11-29,2020-01-03,102,137,372187.5,451068.24,5,6,4,Completed,0,4
PRJ_0137,2021-01-18,2022-09-25,2022-12-07,615,688,346515.77,326692.39,12,2,5,Completed,0,2
PRJ_0138,2022-04-09,2023-03-19,2023-06-13,344,430,62193.2,74906.18,33,8,3,Completed,0,2
PRJ_0139,2020-06-24,2021-09-23,2021-11-04,456,498,149887.47,167350.36,36,7,1,Completed,0,3
PRJ_0140,2021-11-25,2022-02-04,2022-03-03,71,98,153983.66,197899.31,42,1,4,Completed,0,2
PRJ_0141,2020-06-08,2022-04-05,2022-05-15,666,706,352351.73,365300.26,9,5,3,Completed,0,3
PRJ_0142,2022-03-29,2023-03-25,2023-05-24,361,421,58869.74,67879.68,26,6,2,Cancelled,0,2
PRJ_0143,2022-06-20,2023-04-28,2023-05-03,312,317,96848.86,123270.32,38,4,2,Completed,0,3
PRJ_0144,2022-01-14,2023-07-26,2023-08-10,558,573,409962.24,385776.06,5,2,3,Completed,0,2
PRJ_0145,2020-07-31,2020-11-02,2020-10-13,94,74,130345.1,166175.84,30,4,1,Completed,0,4
PRJ_0146,2020-11-12,2021-04-10,2021-03-28,149,136,343735.75,403942.54,47,1,2,Completed,0,2
PRJ_0147,2020-07-10,2022-05-05,2022-08-05,664,756,157182.25,145729.14,14,7,5,Completed,0,2
PRJ_0148,2021-10-09,2023-08-01,2023-10-18,661,739,94748.63,96680.12,34,2,3,Completed,0,3
PRJ_0149,2020-10-07,2022-01-27,2022-02-22,477,503,159427.49,188645.58,22,2,3,Completed,0,2
PRJ_0150,2021-03-06,2021-08-27,2021-12-11,174,280,375020.12,347621.24,21,9,2,Completed,0,3
PRJ_0151,2021-11-17,2023-09-24,2023-10-29,676,711,435063.41,492869.5,30,5,1,Completed,0,4
PRJ_0152,2022-06-08,2023-02-18,2023-02-11,255,248,423598.94,439845.32,12,2,5,Completed,0,4
PRJ_0153,2019-07-09,2021-01-19,2021-01-26,560,567,228732.59,262668.77,44,9,1,Completed,0,4
PRJ_0154,2022-06-02,2024-04-17,2024-06-13,685,742,350638.31,321990.04,16,9,4,Completed,0,2
PRJ_0155,2020-09-24,2022-03-30,2022-07-17,552,661,142242.93,177606.62,31,1,4,Completed,0,3
PRJ_0156,2020-09-19,2021-01-31,2021-04-29,134,222,181916.48,234562.3,12,3,2,Completed,0,4
PRJ_0157,2021-08-30,2022-12-15,2022-12-08,472,465,453351.12,583712.75,29,4,2,Completed,0,3
PRJ_0158,2020-12-10,2022-02-18,2022-03-25,435,470,55850.87,67013.26,50,7,2,Completed,0,3
PRJ_0159,2020-10-10,2022-02-01,2022-05-06,479,573,88478.84,84234.91,8,10,4,Completed,0,4
PRJ_0160,2019-11-14,2020-10-15,2020-10-01,336,322,143548.81,172733.05,37,4,1,Cancelled,0,2
PRJ_0161,2022-06-02,2023-08-29,2023-08-11,453,435,61939.49,56354.7,5,2,1,Completed,1,4
PRJ_0162,2022-06-11,2023-11-09,2024-02-07,516,606,131645.95,119646.34,23,7,2,Completed,0,3
PRJ_0163,2020-11-14,2021-07-23,2021-10-17,251,337,312368.7,321566.11,35,6,5,Completed,0,4
PRJ_0164,2020-10-25,2021-04-01,2021-03-29,158,155,239641.05,262516.53,20,3,1,Completed,0,3
PRJ_0165,2022-06-10,2024-02-07,2024-02-24,607,624,451702.27,545729.95,18,6,4,Completed,0,3
PRJ_0166,2022-02-10,2022-07-15,2022-10-17,155,249,417849.6,490270.52,9,6,3,Completed,0,4
PRJ_0167,2020-03-17,2020-11-21,2020-11-15,249,243,203817.81,219789.19,45,5,3,Completed,0,2
PRJ_0168,2020-07-17,2020-10-21,2021-01-27,96,194,166740.55,168316.35,30,4,3,Completed,0,4
PRJ_0169,2022-02-10,2023-04-14,2023-04-21,428,435,220861.58,286866.02,32,10,5,Completed,0,2
PRJ_0170,2021-08-09,2023-03-16,2023-04-03,584,602,315632.72,337876.16,6,1,2,Completed,0,3
PRJ_0171,2022-01-09,2022-12-13,2022-12-09,338,334,170628.64,184373.6,10,10,4,Cancelled,0,2
PRJ_0172,2020-11-29,2021-09-01,2021-11-05,276,341,330867.01,319435.4,13,6,5,Completed,0,2
PRJ_0173,2019-04-23,2020-03-20,2020-07-03,332,437,234235.24,285280.68,37,2,4,Completed,0,3
PRJ_0174,2019-01-02,2019-05-03,2019-05-26,121,144,298421.23,351382.91,45,3,4,Completed,0,2
PRJ_0175,2020-10-03,2022-07-20,2022-07-24,655,659,246256.94,243377.66,29,8,2,Completed,0,2
PRJ_0176,2019-08-08,2020-09-12,2020-09-04,401,393,182509.59,170272.77,17,10,3,Completed,1,5
PRJ_0177,2021-05-04,2022-08-03,2022-08-07,456,460,476803.99,558909.5,13,6,2,Completed,0,2
PRJ_0178,2022-06-02,2022-08-19,2022-10-05,78,125,393622.61,457312.51,17,3,5,Completed,0,4
PRJ_0179,2020-01-20,2020-09-12,2021-01-07,236,353,113050.93,114102.73,35,7,5,Completed,0,4
PRJ_0180,2022-02-27,2023-12-30,2024-02-14,671,717,440810.59,564389.82,45,4,5,Completed,0,3
PRJ_0181,2021-12-12,2023-03-12,2023-06-08,455,543,269344.04,258684.25,15,9,2,Completed,0,3
PRJ_0182,2020-12-30,2022-05-18,2022-08-16,504,594,452548.5,485554.64,8,5,4,Completed,0,2
PRJ_0183,2019-09-04,2020-06-22,2020-09-20,292,382,409934.87,523669.8,38,3,4,Completed,0,2
PRJ_0184,2021-04-15,2021-08-28,2021-09-10,135,148,241346.08,257731.29,42,2,1,Completed,0,2
PRJ_0185,2019-07-22,2020-06-10,2020-09-08,324,414,60111.19,69453.09,50,2,5,Completed,0,2
PRJ_0186,2022-04-22,2023-09-18,2023-09-05,514,501,170904.81,180994.65,8,3,4,Completed,0,4
PRJ_0187,2019-05-03,2020-07-19,2020-10-19,443,535,293735.4,296580.54,42,2,1,Completed,0,4
PRJ_0188,2020-02-05,2021-10-20,2021-12-21,623,685,335065.2,433437.35,23,4,4,Completed,0,3
PRJ_0189,2021-02-05,2022-08-24,2022-09-14,565,586,166049.46,176632.39,10,2,5,Completed,0,2
PRJ_0190,2019-10-21,2020-12-20,2021-03-10,426,506,112710.23,141748.86,38,10,3,Completed,0,2
PRJ_0191,2019-10-07,2020-04-27,2020-04-12,203,188,425718.61,422305.13,22,9,5,Cancelled,0,2
PRJ_0192,2021-06-02,2021-10-08,2021-10-13,128,133,492980.98,485705.51,17,2,2,Completed,0,3
PRJ_0193,2019-07-17,2019-12-22,2020-02-03,158,201,286560.58,261473.24,45,9,4,Completed,0,2
PRJ_0194,2021-09-08,2022-12-07,2023-01-14,455,493,127255.68,147701.43,27,6,4,Cancelled,0,1
PRJ_0195,2021-01-21,2021-04-15,2021-07-12,84,172,172538.3,180718.43,23,1,2,Completed,0,2
PRJ_0196,2019-05-24,2020-11-02,2021-02-10,528,628,58275.8,72596.69,49,4,2,Completed,0,2
PRJ_0197,2020-08-31,2022-02-25,2022-03-09,543,555,461434.46,502633.16,15,1,3,Completed,0,2
PRJ_0198,2022-05-09,2024-01-23,2024-01-23,624,624,102987.99,132574.11,5,6,4,Cancelled,0,2
PRJ_0199,2022-02-21,2022-09-19,2022-11-07,210,259,309432.41,301452.22,28,4,4,Completed,0,2
PRJ_0200,2019-07-06,2020-01-25,2020-04-25,203,294,173324.85,216213.96,11,3,3,Completed,0,3
PRJ_0201,2020-04-08,2021-12-27,2021-12-10,628,611,299380.1,362441.15,29,3,1,Completed,0,2
PRJ_0202,2020-10-21,2021-01-27,2021-04-10,98,171,343139.17,414638.65,25,9,3,Completed,0,4
PRJ_0203,2021-02-02,2021-07-20,2021-09-12,168,222,423383.81,524112.45,19,6,5,Completed,0,4
PRJ_0204,2021-08-12,2021-11-21,2022-01-01,101,142,142889.57,172097.57,5,9,4,Completed,0,4
PRJ_0205,2020-02-07,2020-10-09,2020-12-21,245,318,54948.12,63217.16,16,5,2,Completed,0,4
PRJ_0206,2019-05-27,2020-08-26,2020-11-08,457,531,111598.53,106297.37,11,2,5,Completed,0,3
PRJ_0207,2022-03-17,2022-12-24,2023-01-27,282,316,455008.39,415427.42,19,8,4,Completed,0,3
PRJ_0208,2021-05-13,2023-04-06,2023-07-31,693,809,443250.53,562192.0,25,5,3,Completed,0,2
PRJ_0209,2020-05-03,2020-11-11,2021-03-01,192,302,318835.9,365596.41,23,2,5,Completed,0,4
PRJ_0210,2021-07-17,2022-02-24,2022-03-06,222,232,320232.59,390240.21,33,4,4,Completed,0,3
PRJ_0211,2020-07-04,2021-04-04,2021-04-23,274,293,349266.5,381611.7,29,9,1,Completed,0,2
PRJ_0212,2019-12-04,2020-09-23,2020-10-08,294,309,128917.08,122074.58,37,4,1,Completed,0,2
PRJ_0213,2021-05-21,2023-05-08,2023-04-23,717,702,461485.38,438445.4,36,4,2,Completed,1,5
PRJ_0214,2020-10-02,2022-07-11,2022-08-25,647,692,238446.74,279990.38,39,2,4,Completed,0,4
PRJ_0215,2020-04-17,2020-06-24,2020-08-17,68,122,222412.34,238453.24,48,6,1,Completed,0,2
PRJ_0216,2019-05-31,2019-10-11,2019-09-24,133,116,283512.97,277902.21,42,2,3,Completed,1,5
PRJ_0217,2019-09-20,2021-03-24,2021-05-21,551,609,71134.69,78008.99,30,7,4,Completed,0,4
PRJ_0218,2019-05-24,2020-03-31,2020-07-22,312,425,124827.52,115550.78,15,3,3,Completed,0,4
PRJ_0219,2019-12-12,2020-09-26,2021-01-01,289,386,382115.13,432855.65,39,3,3,Completed,0,4
PRJ_0220,2020-09-15,2022-04-16,2022-07-17,578,670,87259.4,87922.34,12,5,1,Completed,0,2
PRJ_0221,2021-10-13,2022-06-03,2022-08-15,233,306,321418.45,391816.69,50,3,4,Completed,0,4
PRJ_0222,2021-05-30,2023-05-12,2023-06-22,712,753,160407.1,164280.09,18,2,5,Cancelled,0,2
PRJ_0223,2019-01-02,2019-08-17,2019-10-14,227,285,225183.03,243667.86,14,10,1,Completed,0,2
PRJ_0224,2021-06-15,2022-01-30,2022-05-25,229,344,179912.18,162757.23,6,9,1,Completed,0,4
PRJ_0225,2019-09-11,2020-12-06,2020-12-11,452,457,210052.72,195134.52,50,2,4,Completed,0,2
PRJ_0226,2020-03-28,2022-02-19,2022-03-14,693,716,373570.66,394863.22,13,2,4,Completed,0,4
PRJ_0227,2021-11-26,2022-08-06,2022-11-26,253,365,183704.77,200601.12,7,8,3,Completed,0,3
PRJ_0228,2022-03-29,2023-10-26,2023-12-14,576,625,304882.09,347568.09,25,9,4,Completed,0,4
PRJ_0229,2021-10-11,2022-01-07,2022-04-14,88,185,264222.68,268625.96,30,7,3,Completed,0,4
PRJ_0230,2019-01-09,2019-08-21,2019-10-07,224,271,348652.02,410709.56,12,3,1,Completed,0,2
PRJ_0231,2022-06-10,2023-10-04,2023-10-02,481,479,471573.38,586660.38,6,9,2,Completed,0,2
PRJ_0232,2022-01-27,2023-03-01,2023-02-28,398,397,379657.44,460122.19,10,3,5,Completed,0,4
PRJ_0233,2021-03-26,2023-03-03,2023-06-03,707,799,146723.17,134376.05,32,5,1,Completed,0,3
PRJ_0234,2019-07-27,2021-02-01,2021-05-31,555,674,64032.41,69936.38,33,9,4,Completed,0,3
PRJ_0235,2022-02-28,2023-04-28,2023-05-24,424,450,168018.82,158269.04,30,3,5,Completed,0,2
PRJ_0236,2020-02-08,2021-03-15,2021-02-23,401,381,317785.07,316773.88,29,7,2,Completed,1,5
PRJ_0237,2019-06-01,2020-12-11,2021-02-18,559,628,73141.62,94693.89,16,1,2,Completed,0,3
PRJ_0238,2019-02-23,2021-02-08,2021-03-23,716,759,273364.81,261609.64,9,4,3,Completed,0,4
PRJ_0239,2022-02-17,2023-09-10,2023-09-27,570,587,318579.28,350295.53,38,4,5,Completed,0,2
PRJ_0240,2020-09-19,2021-10-10,2021-10-26,386,402,200409.75,229922.55,41,7,3,Cancelled,0,1
PRJ_0241,2020-08-09,2021-05-12,2021-08-25,276,381,396910.49,468745.73,19,8,1,Completed,0,2
PRJ_0242,2019-04-14,2020-04-08,2020-08-04,360,478,97969.21,110103.63,48,1,5,Completed,0,2
